Amphetamine,Number of deaths,,,,Unsmoothed,,,,,,,Smoothed,,,,,,,
Year,Mentioned,Mentioned without other drugs,Mentioned with alcohol,Last year prevalence,User Population,Users per death (mentioned),Users per death (alone or with alcohol),Deaths/1000 users (mentioned),Deaths/1000 users (alone or with alcohol),Risk of death (mentioned),Risk of death (alone or with alcohol),Smoothed Last year prevelence,User Population,Users per death (mentioned),Users per death (alone or with alcohol),Deaths/1000 users (mentioned),Deaths/1000 users (alone or with alcohol),Risk of death (mentioned),Risk of death (alone or with alcohol)
1996,33,14,5,3.2,964716.8,"29,233.84","50,774.57",0.03,0.02,0.003%,0.002%,3.10,934569.4,"28,320.28","49,187.86",0.04,0.02,0.004%,0.002%
1997,41,18,4,3.1,938063.1,"22,879.59","42,639.23",0.04,0.02,0.004%,0.002%,2.96,896455.4625,"21,864.77","40,747.98",0.05,0.02,0.005%,0.002%
1998,48,20,3,3,910803,"18,975.06","39,600.13",0.05,0.03,0.005%,0.003%,2.79,847046.79,"17,646.81","36,828.12",0.06,0.03,0.006%,0.003%
1999,67,25,4,2.55,778282.95,"11,616.16","26,837.34",0.09,0.04,0.009%,0.004%,2.45,747762.05,"11,160.63","25,784.90",0.09,0.04,0.009%,0.004%
2000,40,14,7,2.1,642954.9,"16,073.87","30,616.90",0.06,0.03,0.006%,0.003%,2.15,658263.35,"16,456.58","31,345.87",0.06,0.03,0.006%,0.003%
2001,28,12,4,1.5,464611.5,"16,593.27","29,038.22",0.06,0.03,0.006%,0.003%,1.85,573020.85,"20,465.03","35,813.80",0.05,0.03,0.005%,0.003%
2002,51,17,7,1.6,499329.6,"9,790.78","20,805.40",0.10,0.05,0.010%,0.005%,1.62,505571.22,"9,913.16","21,065.47",0.10,0.05,0.010%,0.005%
2003,33,16,6,1.5,470850,"14,268.18","21,402.27",0.07,0.05,0.007%,0.005%,1.48,464572,"14,077.94","21,116.91",0.07,0.05,0.007%,0.005%
2004,43,21,5,1.4,442253,"10,284.95","17,009.73",0.10,0.06,0.010%,0.006%,1.44,454888.8,"10,578.81","17,495.72",0.09,0.06,0.009%,0.006%
2005,50,27,3,1.4,446464.2,"8,929.28","14,882.14",0.11,0.07,0.011%,0.007%,1.32,420951.96,"8,419.04","14,031.73",0.12,0.07,0.012%,0.007%
2006,49,19,7,1.3,417636.7,"8,523.20","16,062.95",0.12,0.06,0.012%,0.006%,1.26,404786.34,"8,260.95","15,568.71",0.12,0.06,0.012%,0.006%
2007,50,27,12,1,322426,"6,448.52","8,267.33",0.16,0.12,0.016%,0.012%,1.16,374014.16,"7,480.28","9,590.11",0.13,0.10,0.013%,0.010%
2008,59,29,16,1.2,388668,"6,587.59","8,637.07",0.15,0.12,0.015%,0.012%,1.08,349801.2,"5,928.83","7,773.36",0.17,0.13,0.017%,0.013%
2009,50,22,5,0.9,292617.9,"5,852.36","10,837.70",0.17,0.09,0.017%,0.009%,0.98,318628.38,"6,372.57","11,801.05",0.16,0.08,0.016%,0.008%
2010,48,28,8,1,327011,"6,812.73","9,083.64",0.15,0.11,0.015%,0.011%,0.90,294309.9,"6,131.46","8,175.28",0.16,0.12,0.016%,0.012%
2011,46,26,3,0.8,263172.8,"5,721.15","9,074.92",0.17,0.11,0.017%,0.011%,0.82,269752.12,"5,864.18","9,301.80",0.17,0.11,0.017%,0.011%
2012,49,22,10,0.6,198181.668,"4,044.52","6,193.18",0.25,0.16,0.025%,0.016%,0.76,251030.1128,"5,123.06","7,844.69",0.20,0.13,0.020%,0.013%
2013,56,18,9,0.8,265185.4,"4,735.45","9,821.68",0.21,0.10,0.021%,0.010%,0.68,225407.59,"4,025.14","8,348.43",0.25,0.12,0.025%,0.012%
2014,85,33,19,0.6,199778.028,"2,350.33","3,841.89",0.43,0.26,0.043%,0.026%,0.65,216426.197,"2,546.19","4,162.04",0.39,0.24,0.039%,0.024%
2015,90,41,17,0.6,200994.132,"2,233.27","3,465.42",0.45,0.29,0.045%,0.029%,0.67,223326.8133,"2,481.41","3,850.46",0.40,0.26,0.040%,0.026%